balmy,balmy breeze ,swarming, swarming bees circle ,river, the river bank
hour,silent hour ,tiptoeing, a snowflake tiptoeing ,pane, on the window pane
embracing,embracing ,smell, smell of tobacco ,empty, from the empty lift
embracing,embracing ,smell, smell of tobacco ,lift, from the empty lift
embracing,embracing ,tobacco, smell of tobacco ,empty, from the empty lift
embracing,embracing ,tobacco, smell of tobacco ,lift, from the empty lift
windy,windy ,hair, your hair tells ,everything, everything
two,two voids ,clinking, clinking each other ,christmas, christmas balls
new,new year's eve ,looking, looking for batteries ,among, among snow maidens
new,new year's eve ,looking, looking for batteries ,snow, among snow maidens
year,new year's eve ,looking, looking for batteries ,among, among snow maidens
year,new year's eve ,looking, looking for batteries ,snow, among snow maidens
eve,new year's eve ,looking, looking for batteries ,among, among snow maidens
eve,new year's eve ,looking, looking for batteries ,snow, among snow maidens
soul,soul searching ,punch, i punch all the buttons ,new, in my new car
soul,soul searching ,punch, i punch all the buttons ,car, in my new car
soul,soul searching ,buttons, i punch all the buttons ,new, in my new car
soul,soul searching ,buttons, i punch all the buttons ,car, in my new car
searching,soul searching ,punch, i punch all the buttons ,new, in my new car
searching,soul searching ,punch, i punch all the buttons ,car, in my new car
searching,soul searching ,buttons, i punch all the buttons ,new, in my new car
searching,soul searching ,buttons, i punch all the buttons ,car, in my new car
sighing,sighing ,narrative, the narrative ,snow, of snow
cutting,cutting me off ,inbound, at the inbound lane ,crescent, crescent moon
cutting,cutting me off ,inbound, at the inbound lane ,moon, crescent moon
cutting,cutting me off ,lane, at the inbound lane ,crescent, crescent moon
cutting,cutting me off ,lane, at the inbound lane ,moon, crescent moon
white,white on white ,snow, snow buntings ,rise, rise from the mist
white,white on white ,snow, snow buntings ,mist, rise from the mist
white,white on white ,snow, snow buntings ,rise, rise from the mist
white,white on white ,snow, snow buntings ,mist, rise from the mist
morning,morning sun ,smell, the smell of rice tea ,iron, in an iron pot
morning,morning sun ,smell, the smell of rice tea ,pot, in an iron pot
morning,morning sun ,rice, the smell of rice tea ,iron, in an iron pot
morning,morning sun ,rice, the smell of rice tea ,pot, in an iron pot
morning,morning sun ,tea, the smell of rice tea ,iron, in an iron pot
morning,morning sun ,tea, the smell of rice tea ,pot, in an iron pot
sun,morning sun ,smell, the smell of rice tea ,iron, in an iron pot
sun,morning sun ,smell, the smell of rice tea ,pot, in an iron pot
sun,morning sun ,rice, the smell of rice tea ,iron, in an iron pot
sun,morning sun ,rice, the smell of rice tea ,pot, in an iron pot
sun,morning sun ,tea, the smell of rice tea ,iron, in an iron pot
sun,morning sun ,tea, the smell of rice tea ,pot, in an iron pot
stiff,stiff fingers ,warmth, the warmth ,crackling, of crackling flames
past,past midnight ,lake, on the lake ,still, geese still squabble
past,past midnight ,lake, on the lake ,squabble, geese still squabble
midnight,past midnight ,lake, on the lake ,still, geese still squabble
midnight,past midnight ,lake, on the lake ,squabble, geese still squabble
smell,the smell of horses ,trail, on the trail ,cougar, a cougar's tracks
wild,wild cleft . . . ,sough, the sough of wind ,snow, on sintered snow
wild,wild cleft . . . ,wind, the sough of wind ,snow, on sintered snow
cleft,wild cleft . . . ,sough, the sough of wind ,snow, on sintered snow
cleft,wild cleft . . . ,wind, the sough of wind ,snow, on sintered snow
whistle,receding whistle ,last, of the last train ,cold, a cold trek home
whistle,receding whistle ,last, of the last train ,trek, a cold trek home
whistle,receding whistle ,last, of the last train ,home, a cold trek home
whistle,receding whistle ,train, of the last train ,cold, a cold trek home
whistle,receding whistle ,train, of the last train ,trek, a cold trek home
whistle,receding whistle ,train, of the last train ,home, a cold trek home
distant,distant thunder ,crash, the crash of coins ,beggar, in the beggar's bowl
distant,distant thunder ,crash, the crash of coins ,bowl, in the beggar's bowl
thunder,distant thunder ,crash, the crash of coins ,beggar, in the beggar's bowl
thunder,distant thunder ,crash, the crash of coins ,bowl, in the beggar's bowl
musician,in the musician's garden ,growing, weeds growing ,con, con brio
garden,in the musician's garden ,growing, weeds growing ,con, con brio
first,first oriole ,follow, i follow its song ,magnolia, to a magnolia
first,first oriole ,song, i follow its song ,magnolia, to a magnolia
oriole,first oriole ,follow, i follow its song ,magnolia, to a magnolia
oriole,first oriole ,song, i follow its song ,magnolia, to a magnolia
son,my son skips ,way, all the way to the park ,spring, spring runoff
son,my son skips ,way, all the way to the park ,runoff, spring runoff
son,my son skips ,park, all the way to the park ,spring, spring runoff
son,my son skips ,park, all the way to the park ,runoff, spring runoff
autumn,autumn ,buzzing, buzzing at my ear ,last, last wasp
autumn,autumn ,buzzing, buzzing at my ear ,wasp, last wasp
autumn,autumn ,ear, buzzing at my ear ,last, last wasp
autumn,autumn ,ear, buzzing at my ear ,wasp, last wasp
drought,drought ,garden, the garden gate ,open, swings open
drought,drought ,gate, the garden gate ,open, swings open
happy,happy hour ,shopping, the shopping mall santa ,suit, takes off his suit
happy,happy hour ,mall, the shopping mall santa ,suit, takes off his suit
happy,happy hour ,santa, the shopping mall santa ,suit, takes off his suit
hour,happy hour ,shopping, the shopping mall santa ,suit, takes off his suit
hour,happy hour ,mall, the shopping mall santa ,suit, takes off his suit
hour,happy hour ,santa, the shopping mall santa ,suit, takes off his suit
moving,a moving van ,traffic, stalls the traffic ,morning, morning frost
moving,a moving van ,traffic, stalls the traffic ,frost, morning frost
van,a moving van ,traffic, stalls the traffic ,morning, morning frost
van,a moving van ,traffic, stalls the traffic ,frost, morning frost
flickering,flickering street light ,darkness, from darkness to darkness ,flight, the flight of a bat
flickering,flickering street light ,darkness, from darkness to darkness ,bat, the flight of a bat
flickering,flickering street light ,darkness, from darkness to darkness ,flight, the flight of a bat
flickering,flickering street light ,darkness, from darkness to darkness ,bat, the flight of a bat
street,flickering street light ,darkness, from darkness to darkness ,flight, the flight of a bat
street,flickering street light ,darkness, from darkness to darkness ,bat, the flight of a bat
street,flickering street light ,darkness, from darkness to darkness ,flight, the flight of a bat
street,flickering street light ,darkness, from darkness to darkness ,bat, the flight of a bat
light,flickering street light ,darkness, from darkness to darkness ,flight, the flight of a bat
light,flickering street light ,darkness, from darkness to darkness ,bat, the flight of a bat
light,flickering street light ,darkness, from darkness to darkness ,flight, the flight of a bat
light,flickering street light ,darkness, from darkness to darkness ,bat, the flight of a bat
conversation,the conversation ,halt, grinds to a halt ,peak, peak oil
conversation,the conversation ,halt, grinds to a halt ,oil, peak oil
first,first frost ,water, water runs slowly ,fountain, in the fountain
first,first frost ,slowly, water runs slowly ,fountain, in the fountain
frost,first frost ,water, water runs slowly ,fountain, in the fountain
frost,first frost ,slowly, water runs slowly ,fountain, in the fountain
first,first snow ,football, the football field lines ,slowly, slowly vanish
first,first snow ,football, the football field lines ,vanish, slowly vanish
first,first snow ,field, the football field lines ,slowly, slowly vanish
first,first snow ,field, the football field lines ,vanish, slowly vanish
snow,first snow ,football, the football field lines ,slowly, slowly vanish
snow,first snow ,football, the football field lines ,vanish, slowly vanish
snow,first snow ,field, the football field lines ,slowly, slowly vanish
snow,first snow ,field, the football field lines ,vanish, slowly vanish
home,home city ,touching, touching the inner side ,bridge, of the bridge
home,home city ,inner, touching the inner side ,bridge, of the bridge
home,home city ,side, touching the inner side ,bridge, of the bridge
city,home city ,touching, touching the inner side ,bridge, of the bridge
city,home city ,inner, touching the inner side ,bridge, of the bridge
city,home city ,side, touching the inner side ,bridge, of the bridge
night,night cafe ,jacket, my jacket on the back ,next, of the next chair
night,night cafe ,jacket, my jacket on the back ,chair, of the next chair
night,night cafe ,back, my jacket on the back ,next, of the next chair
night,night cafe ,back, my jacket on the back ,chair, of the next chair
ice,up their necks in ice ,leaves, the leaves of grass ,green, so green
ice,up their necks in ice ,grass, the leaves of grass ,green, so green
first,first frost ,everybody, everybody brings his own ,cloud, cloud
frost,first frost ,everybody, everybody brings his own ,cloud, cloud
unlikely,unlikely truth ,milkweed, a milkweed pod ,open, cracks open
unlikely,unlikely truth ,pod, a milkweed pod ,open, cracks open
truth,unlikely truth ,milkweed, a milkweed pod ,open, cracks open
truth,unlikely truth ,pod, a milkweed pod ,open, cracks open
change,change of life ,cutting, cutting into a vein ,chard, of chard
change,change of life ,vein, cutting into a vein ,chard, of chard
life,change of life ,cutting, cutting into a vein ,chard, of chard
life,change of life ,vein, cutting into a vein ,chard, of chard
hot,hot summer night ,click, click of mahjong tiles ,air, lifts the air
summer,hot summer night ,click, click of mahjong tiles ,air, lifts the air
night,hot summer night ,click, click of mahjong tiles ,air, lifts the air
autumn,autumn dusk ,apple, the wilting apple tree ,lit, lit from within
autumn,autumn dusk ,apple, the wilting apple tree ,within, lit from within
autumn,autumn dusk ,tree, the wilting apple tree ,lit, lit from within
autumn,autumn dusk ,tree, the wilting apple tree ,within, lit from within
dusk,autumn dusk ,apple, the wilting apple tree ,lit, lit from within
dusk,autumn dusk ,apple, the wilting apple tree ,within, lit from within
dusk,autumn dusk ,tree, the wilting apple tree ,lit, lit from within
dusk,autumn dusk ,tree, the wilting apple tree ,within, lit from within
smell,smell of ripe wheat ,thresher, thresher blades ,catch, catch the sun
smell,smell of ripe wheat ,thresher, thresher blades ,sun, catch the sun
ripe,smell of ripe wheat ,thresher, thresher blades ,catch, catch the sun
ripe,smell of ripe wheat ,thresher, thresher blades ,sun, catch the sun
wheat,smell of ripe wheat ,thresher, thresher blades ,catch, catch the sun
wheat,smell of ripe wheat ,thresher, thresher blades ,sun, catch the sun
digging,digging potatoes . . . ,yodel, a yodel ,loon, from the loon's last chick
digging,digging potatoes . . . ,yodel, a yodel ,last, from the loon's last chick
digging,digging potatoes . . . ,yodel, a yodel ,chick, from the loon's last chick
potatoes,digging potatoes . . . ,yodel, a yodel ,loon, from the loon's last chick
potatoes,digging potatoes . . . ,yodel, a yodel ,last, from the loon's last chick
potatoes,digging potatoes . . . ,yodel, a yodel ,chick, from the loon's last chick
hoarfrost,feathers of hoarfrost ,ravens, ravens await ,dawn, the dawn
hoarfrost,feathers of hoarfrost ,await, ravens await ,dawn, the dawn
winter,winter camping . . . ,cooking, cooking ,moonlight, with moonlight
sides,on all sides the prairie ,sky, touches sky ,winter, winter stubble
sides,on all sides the prairie ,sky, touches sky ,stubble, winter stubble
prairie,on all sides the prairie ,sky, touches sky ,winter, winter stubble
prairie,on all sides the prairie ,sky, touches sky ,stubble, winter stubble
bare,bare cottonwoods ,river, the river folds back ,back, and back again
bare,bare cottonwoods ,back, the river folds back ,back, and back again
shifting,shifting ,point, my point of view ,skunk, the skunk
shifting,shifting ,view, my point of view ,skunk, the skunk
frosted,frosted windows ,toss, i toss more greens ,soup, in the soup
gusty,gusty day ,windmill, the windmill motionless ,delft, on the delft beer stein
gusty,gusty day ,windmill, the windmill motionless ,beer, on the delft beer stein
gusty,gusty day ,windmill, the windmill motionless ,stein, on the delft beer stein
gusty,gusty day ,motionless, the windmill motionless ,delft, on the delft beer stein
gusty,gusty day ,motionless, the windmill motionless ,beer, on the delft beer stein
gusty,gusty day ,motionless, the windmill motionless ,stein, on the delft beer stein
day,gusty day ,windmill, the windmill motionless ,delft, on the delft beer stein
day,gusty day ,windmill, the windmill motionless ,beer, on the delft beer stein
day,gusty day ,windmill, the windmill motionless ,stein, on the delft beer stein
day,gusty day ,motionless, the windmill motionless ,delft, on the delft beer stein
day,gusty day ,motionless, the windmill motionless ,beer, on the delft beer stein
day,gusty day ,motionless, the windmill motionless ,stein, on the delft beer stein
moonrise,moonrise ,basketball, a basketball bounces ,hoop, off the hoop
heat,heat haze ,road, the road ahead sinks ,mirage, into its mirage
heat,heat haze ,ahead, the road ahead sinks ,mirage, into its mirage
haze,heat haze ,road, the road ahead sinks ,mirage, into its mirage
haze,heat haze ,ahead, the road ahead sinks ,mirage, into its mirage
winter,winter dawn ,magpie, the preening magpie's ,breast, pink-tinged breast
dawn,winter dawn ,magpie, the preening magpie's ,breast, pink-tinged breast
new,new coolness ,postman, the postman leaves a note ,without, without ringing
new,new coolness ,postman, the postman leaves a note ,ringing, without ringing
new,new coolness ,leaves, the postman leaves a note ,without, without ringing
new,new coolness ,leaves, the postman leaves a note ,ringing, without ringing
new,new coolness ,note, the postman leaves a note ,without, without ringing
new,new coolness ,note, the postman leaves a note ,ringing, without ringing
coolness,new coolness ,postman, the postman leaves a note ,without, without ringing
coolness,new coolness ,postman, the postman leaves a note ,ringing, without ringing
coolness,new coolness ,leaves, the postman leaves a note ,without, without ringing
coolness,new coolness ,leaves, the postman leaves a note ,ringing, without ringing
coolness,new coolness ,note, the postman leaves a note ,without, without ringing
coolness,new coolness ,note, the postman leaves a note ,ringing, without ringing
rain,sheets of rain ,along, along the foothills . . . ,summer, summer lethargy
rain,sheets of rain ,along, along the foothills . . . ,lethargy, summer lethargy
hooded,the hooded crow's ,grey, grey underbelly . . . ,snow, snow bearing clouds
hooded,the hooded crow's ,grey, grey underbelly . . . ,bearing, snow bearing clouds
hooded,the hooded crow's ,underbelly, grey underbelly . . . ,snow, snow bearing clouds
hooded,the hooded crow's ,underbelly, grey underbelly . . . ,bearing, snow bearing clouds
crow,the hooded crow's ,grey, grey underbelly . . . ,snow, snow bearing clouds
crow,the hooded crow's ,grey, grey underbelly . . . ,bearing, snow bearing clouds
crow,the hooded crow's ,underbelly, grey underbelly . . . ,snow, snow bearing clouds
crow,the hooded crow's ,underbelly, grey underbelly . . . ,bearing, snow bearing clouds
small,small hours ,frosted, the frosted edge of a glass ,sickle, sickle moon
small,small hours ,frosted, the frosted edge of a glass ,moon, sickle moon
small,small hours ,edge, the frosted edge of a glass ,sickle, sickle moon
small,small hours ,edge, the frosted edge of a glass ,moon, sickle moon
small,small hours ,glass, the frosted edge of a glass ,sickle, sickle moon
small,small hours ,glass, the frosted edge of a glass ,moon, sickle moon
rain,after the rain ,glimmer, a glimmer of sun ,gutter, in the gutter
rain,after the rain ,sun, a glimmer of sun ,gutter, in the gutter
spring,spring morning ,wild, a wild boar turns over ,lawn, my neighbours lawn
spring,spring morning ,boar, a wild boar turns over ,lawn, my neighbours lawn
spring,spring morning ,turns, a wild boar turns over ,lawn, my neighbours lawn
morning,spring morning ,wild, a wild boar turns over ,lawn, my neighbours lawn
morning,spring morning ,boar, a wild boar turns over ,lawn, my neighbours lawn
